,Open,High,Low,close
1612137600000,1.21225,1.21239,1.21201,1.21216
1612138500000,1.21217,1.21279,1.21217,1.21279
1612139400000,1.21281,1.21281,1.21214,1.21231
1612140300000,1.21232,1.21299,1.21232,1.21297
1612141200000,1.21296,1.21342,1.2127,1.21288
1612142100000,1.21287,1.21363,1.21281,1.2135
1612143000000,1.21351,1.21357,1.21273,1.21289
1612143900000,1.21289,1.21313,1.21256,1.21271
1612144800000,1.21272,1.21289,1.21255,1.21287
1612145700000,1.21285,1.21295,1.21266,1.21278
1612146600000,1.21275,1.21291,1.21246,1.21274
1612147500000,1.21274,1.21276,1.21256,1.2127
1612148400000,1.2127,1.21273,1.21258,1.2126
1612149300000,1.21261,1.21293,1.2126,1.21286
1612150200000,1.21286,1.21317,1.21286,1.21312
1612151100000,1.21312,1.21315,1.21287,1.21295
1612152000000,1.21295,1.21329,1.21291,1.21322
1612152900000,1.21322,1.21327,1.21301,1.21306
1612153800000,1.21306,1.21316,1.21288,1.21302
1612154700000,1.21301,1.21311,1.21273,1.21275
1612155600000,1.21276,1.21293,1.21276,1.21285
1612156500000,1.21284,1.21288,1.2126,1.21268
1612157400000,1.21267,1.21286,1.21258,1.21265
1612158300000,1.21266,1.21323,1.21265,1.21299
1612159200000,1.21299,1.21326,1.21282,1.21321
1612160100000,1.2132,1.21321,1.21302,1.21306
1612161000000,1.21306,1.21306,1.21277,1.21291
1612161900000,1.21291,1.21297,1.21278,1.21292
1612162800000,1.21293,1.21308,1.21216,1.21221
1612163700000,1.2122,1.21269,1.21218,1.21249
1612164600000,1.21248,1.21289,1.21236,1.21274
1612165500000,1.21273,1.21293,1.21239,1.21283
1612166400000,1.21283,1.21302,1.21178,1.21294
1612167300000,1.21294,1.21307,1.21127,1.21128
1612168200000,1.21132,1.21163,1.21081,1.21084
1612169100000,1.21085,1.21096,1.20881,1.20888
1612170000000,1.20888,1.20957,1.20835,1.20922
1612170900000,1.20924,1.21017,1.20916,1.21011
1612171800000,1.2101,1.21042,1.20979,1.2099
1612172700000,1.20988,1.21004,1.20914,1.20936
1612173600000,1.20936,1.2094,1.20878,1.20881
1612174500000,1.20881,1.20889,1.2083,1.20883
1612175400000,1.20882,1.20882,1.20693,1.20747
1612176300000,1.20746,1.20821,1.20723,1.20797
1612177200000,1.20797,1.20821,1.2077,1.20806
1612178100000,1.20804,1.20813,1.2075,1.20807
1612179000000,1.20806,1.2082,1.20725,1.20794
1612179900000,1.20793,1.20842,1.20756,1.20816
1612180800000,1.20816,1.20882,1.20816,1.20877
1612181700000,1.20876,1.20886,1.20802,1.20823
1612182600000,1.20824,1.20862,1.20817,1.2085
1612183500000,1.2085,1.20857,1.20721,1.20755
1612184400000,1.20755,1.20845,1.20729,1.20842
1612185300000,1.20842,1.20884,1.20795,1.20815
1612186200000,1.20816,1.20855,1.20793,1.20837
1612187100000,1.20835,1.20928,1.20834,1.20848
1612188000000,1.20848,1.20924,1.20835,1.2091
1612188900000,1.20912,1.20988,1.20899,1.20985
1612189800000,1.20986,1.20994,1.20931,1.20966
1612190700000,1.20966,1.20969,1.20865,1.20869
1612191600000,1.20867,1.20956,1.20867,1.20918
1612192500000,1.20919,1.20976,1.20914,1.20941
1612193400000,1.20942,1.20983,1.20885,1.20904
1612194300000,1.20904,1.20929,1.20798,1.20845
1612195200000,1.20845,1.20845,1.20769,1.20771
1612196100000,1.20772,1.20871,1.20748,1.20812
1612197000000,1.20812,1.20819,1.20748,1.2078
1612197900000,1.2078,1.20797,1.20682,1.20685
1612198800000,1.20685,1.20701,1.20625,1.20627
1612199700000,1.20626,1.20675,1.20625,1.20632
1612200600000,1.20632,1.20697,1.20631,1.20667
1612201500000,1.20667,1.20698,1.20647,1.20696
1612202400000,1.20696,1.20708,1.20615,1.20707
1612203300000,1.20706,1.20782,1.207,1.20731
1612204200000,1.20733,1.20746,1.20645,1.20688
1612205100000,1.20688,1.20692,1.20647,1.20676
1612206000000,1.20676,1.20731,1.20665,1.20721
1612206900000,1.20723,1.20757,1.20717,1.20756
1612207800000,1.20757,1.20771,1.20727,1.20732
1612208700000,1.20731,1.20743,1.20654,1.20664
1612209600000,1.20662,1.2071,1.2065,1.20664
1612210500000,1.20664,1.2068,1.2062,1.20625
1612211400000,1.20626,1.20652,1.20578,1.20592
1612212300000,1.20592,1.20625,1.2056,1.20565
1612213200000,1.20564,1.20605,1.20564,1.20588
1612214100000,1.2059,1.20592,1.2056,1.20581
1612215000000,1.20582,1.20617,1.20582,1.20586
1612215900000,1.20587,1.20612,1.20585,1.20594
1612216800000,1.20594,1.20631,1.20593,1.20618
1612217700000,1.20621,1.20621,1.20593,1.20611
1612218600000,1.20596,1.20628,1.20596,1.20625
1612219500000,1.20625,1.20637,1.20607,1.20618
1612220400000,1.20619,1.20631,1.20612,1.20624
1612221300000,1.20623,1.20679,1.20621,1.20674
1612222200000,1.20674,1.20679,1.20649,1.20673
1612223100000,1.20672,1.20684,1.20663,1.20676
1612224000000,1.20676,1.2068,1.20624,1.20637
1612224900000,1.20635,1.20662,1.20629,1.20641
1612225800000,1.2064,1.2068,1.2063,1.20668
1612226700000,1.20668,1.20685,1.20622,1.20679
1612227600000,1.20678,1.20718,1.20671,1.2071
1612228500000,1.20708,1.20753,1.20707,1.20748
1612229400000,1.20749,1.20806,1.2073,1.20805
1612230300000,1.20806,1.20861,1.20768,1.20838
1612231200000,1.20839,1.20877,1.20827,1.20828
1612232100000,1.20829,1.20842,1.2082,1.20832
1612233000000,1.20833,1.20856,1.20817,1.20823
1612233900000,1.20822,1.20852,1.2082,1.20833
1612234800000,1.20833,1.20843,1.2081,1.20813
1612235700000,1.20814,1.20845,1.20813,1.2083
1612236600000,1.2083,1.20843,1.20796,1.20812
1612237500000,1.20811,1.20845,1.20809,1.20816
1612238400000,1.20817,1.20822,1.20799,1.2081
1612239300000,1.20811,1.20828,1.20801,1.20813
1612240200000,1.20813,1.20821,1.20777,1.20778
1612241100000,1.20779,1.20786,1.2075,1.20756
1612242000000,1.20755,1.20777,1.20749,1.20765
1612242900000,1.20766,1.2077,1.20749,1.20753
1612243800000,1.20751,1.20778,1.20747,1.20747
1612244700000,1.20748,1.20793,1.20745,1.20791
1612245600000,1.2079,1.20795,1.20733,1.20746
1612246500000,1.20745,1.20747,1.20699,1.20701
1612247400000,1.20703,1.20707,1.20659,1.20702
1612248300000,1.20704,1.20718,1.20694,1.20708
1612249200000,1.20707,1.20714,1.20657,1.20672
1612250100000,1.20672,1.2068,1.2064,1.20652
1612251000000,1.20651,1.2076,1.20651,1.20716
1612251900000,1.20717,1.20745,1.20641,1.20686
1612252800000,1.20686,1.20748,1.20672,1.20706
1612253700000,1.20705,1.2083,1.20704,1.2076
1612254600000,1.20762,1.20869,1.20762,1.20813
1612255500000,1.20816,1.20871,1.2075,1.20866
1612256400000,1.20866,1.20866,1.20786,1.20824
1612257300000,1.20824,1.20825,1.20744,1.20776
1612258200000,1.20776,1.2079,1.20654,1.20682
1612259100000,1.20683,1.20697,1.20639,1.20668
1612260000000,1.20669,1.20696,1.20614,1.20615
1612260900000,1.20614,1.20622,1.20363,1.20376
1612261800000,1.20375,1.2042,1.2032,1.20404
1612262700000,1.20404,1.20417,1.20332,1.20352
1612263600000,1.20352,1.20406,1.20341,1.20346
1612264500000,1.20344,1.20379,1.20315,1.20323
1612265400000,1.20322,1.20346,1.20263,1.20336
1612266300000,1.20335,1.20336,1.20267,1.20277
1612267200000,1.20278,1.20347,1.20261,1.20337
1612268100000,1.20334,1.20382,1.20322,1.20367
1612269000000,1.20369,1.20387,1.20309,1.20325
1612269900000,1.20324,1.20399,1.20294,1.20386
1612270800000,1.20387,1.20443,1.20346,1.20437
1612271700000,1.20438,1.20466,1.20396,1.2043
1612272600000,1.2043,1.20431,1.2035,1.20385
1612273500000,1.20386,1.20497,1.20356,1.20481
1612274400000,1.2048,1.20492,1.20407,1.20414
1612275300000,1.20415,1.20449,1.20398,1.20445
1612276200000,1.20445,1.20446,1.20264,1.20287
1612277100000,1.20287,1.20312,1.20202,1.20231
1612278000000,1.20234,1.20338,1.20233,1.20286
1612278900000,1.20286,1.20335,1.20252,1.20301
1612279800000,1.20299,1.20317,1.20212,1.20247
1612280700000,1.20248,1.20297,1.20207,1.20273
1612281600000,1.20273,1.20326,1.20262,1.20306
1612282500000,1.20307,1.20326,1.20254,1.20293
1612283400000,1.20293,1.203,1.20246,1.20259
1612284300000,1.20259,1.20259,1.20186,1.2019
1612285200000,1.20188,1.20254,1.20169,1.20241
1612286100000,1.2024,1.20242,1.20132,1.20175
1612287000000,1.20172,1.20186,1.20115,1.20137
1612287900000,1.20137,1.20195,1.20128,1.20188
1612288800000,1.20189,1.20247,1.20188,1.20216
1612289700000,1.20216,1.20224,1.2018,1.20203
1612290600000,1.20203,1.20233,1.202,1.20211
1612291500000,1.20212,1.20227,1.20175,1.20179
1612292400000,1.2018,1.20204,1.20172,1.20189
1612293300000,1.20191,1.20232,1.20183,1.20226
1612294200000,1.20226,1.20255,1.20221,1.20229
1612295100000,1.20228,1.20233,1.20195,1.20199
1612296000000,1.20198,1.20216,1.20171,1.2019
1612296900000,1.20189,1.20198,1.20175,1.20182
1612297800000,1.20181,1.20272,1.20174,1.20269
1612298700000,1.20267,1.20402,1.20263,1.20368
1612299600000,1.20367,1.20401,1.20341,1.20387
1612300500000,1.20386,1.20437,1.20369,1.2037
1612301400000,1.20372,1.20429,1.2037,1.20416
1612302300000,1.20419,1.20458,1.20411,1.20428
1612303200000,1.20423,1.20447,1.20416,1.20447
1612304100000,1.20446,1.20447,1.20426,1.20439
1612305000000,1.20442,1.20443,1.20436,1.20437
1612305900000,1.20436,1.20448,1.20431,1.20431
1612306800000,1.20436,1.20441,1.20422,1.20432
1612307700000,1.20433,1.20441,1.20408,1.20436
1612308600000,1.20436,1.20438,1.20394,1.20409
1612309500000,1.20412,1.20427,1.20361,1.20365
1612310400000,1.20365,1.20394,1.20357,1.20372
1612311300000,1.20374,1.2039,1.20363,1.20387
1612312200000,1.20388,1.20432,1.20372,1.20428
1612313100000,1.20429,1.2046,1.20418,1.20442
1612314000000,1.20441,1.20488,1.20418,1.20477
1612314900000,1.20479,1.205,1.20457,1.20467
1612315800000,1.20469,1.20469,1.20429,1.20439
1612316700000,1.20438,1.20479,1.20431,1.20468
1612317600000,1.20469,1.20476,1.20451,1.20468
1612318500000,1.20467,1.20472,1.20447,1.20472
1612319400000,1.20472,1.20479,1.20461,1.20468
1612320300000,1.2047,1.20479,1.20445,1.20463
1612321200000,1.20465,1.20465,1.20436,1.20443
1612322100000,1.20444,1.20479,1.20444,1.20458
1612323000000,1.20457,1.20457,1.20425,1.20433
1612323900000,1.20434,1.20448,1.20416,1.20417
1612324800000,1.20419,1.20436,1.20407,1.20428
1612325700000,1.20429,1.2043,1.20403,1.20423
1612326600000,1.20422,1.20423,1.20392,1.20407
1612327500000,1.20408,1.20434,1.20408,1.20432
1612328400000,1.20434,1.20454,1.20433,1.20453
1612329300000,1.20452,1.20456,1.20436,1.20444
1612330200000,1.20445,1.20446,1.20421,1.20429
1612331100000,1.20429,1.2044,1.20414,1.20439
1612332000000,1.20439,1.20441,1.20373,1.20382
1612332900000,1.20385,1.20406,1.2038,1.20404
1612333800000,1.20406,1.20414,1.20363,1.20364
1612334700000,1.20364,1.20377,1.20347,1.20377
1612335600000,1.20374,1.20404,1.20304,1.20371
1612336500000,1.20373,1.20386,1.20326,1.20339
1612337400000,1.20341,1.20351,1.20291,1.20315
1612338300000,1.20316,1.20376,1.20276,1.20374
1612339200000,1.20374,1.20423,1.2033,1.20396
1612340100000,1.20397,1.20407,1.20313,1.20388
1612341000000,1.20387,1.20407,1.2036,1.20374
1612341900000,1.20376,1.20397,1.20309,1.20312
1612342800000,1.20314,1.20315,1.20095,1.20176
1612343700000,1.20174,1.20246,1.20159,1.20222
1612344600000,1.20222,1.20316,1.20221,1.20272
1612345500000,1.20271,1.20297,1.20204,1.20227
1612346400000,1.20231,1.20303,1.20169,1.20185
1612347300000,1.20186,1.20203,1.2012,1.20173
1612348200000,1.20173,1.2021,1.20143,1.20204
1612349100000,1.20202,1.2022,1.20171,1.2021
1612350000000,1.20209,1.20239,1.20176,1.20232
1612350900000,1.20231,1.20242,1.20214,1.2023
1612351800000,1.20232,1.20239,1.20212,1.20222
1612352700000,1.20221,1.20221,1.20161,1.20162
1612353600000,1.20161,1.20178,1.20081,1.20137
1612354500000,1.2014,1.20164,1.20049,1.20159
1612355400000,1.20159,1.20229,1.20142,1.20183
1612356300000,1.2018,1.20208,1.20094,1.20105
1612357200000,1.20106,1.20171,1.20082,1.2017
1612358100000,1.20168,1.20203,1.20109,1.20138
1612359000000,1.20137,1.20191,1.20092,1.20144
1612359900000,1.20143,1.20233,1.20137,1.2017
1612360800000,1.20167,1.20292,1.20155,1.20229
1612361700000,1.20227,1.20267,1.20218,1.20244
1612362600000,1.20245,1.20325,1.20241,1.20269
1612363500000,1.20268,1.20291,1.20246,1.20265
1612364400000,1.20265,1.20298,1.20202,1.20217
1612365300000,1.20218,1.20252,1.20111,1.20115
1612366200000,1.20115,1.20141,1.20082,1.20101
1612367100000,1.20101,1.20156,1.2004,1.20105
1612368000000,1.20106,1.20213,1.20106,1.20202
1612368900000,1.20201,1.20244,1.20182,1.20227
1612369800000,1.20228,1.20265,1.20197,1.2023
1612370700000,1.20232,1.20257,1.2022,1.20236
1612371600000,1.20238,1.20276,1.20231,1.20247
1612372500000,1.20248,1.20264,1.20236,1.20255
1612373400000,1.20255,1.20291,1.20227,1.20289
1612374300000,1.2029,1.20307,1.20266,1.20266
1612375200000,1.20268,1.20281,1.20235,1.20235
1612376100000,1.20236,1.20246,1.20211,1.2023
1612377000000,1.2023,1.20258,1.20222,1.20251
1612377900000,1.20251,1.20272,1.20239,1.20272
1612378800000,1.20273,1.20288,1.20262,1.20264
1612379700000,1.20264,1.2028,1.20258,1.20262
1612380600000,1.20264,1.20285,1.20263,1.20273
1612381500000,1.20273,1.20281,1.20254,1.20254
1612382400000,1.20256,1.20274,1.2024,1.20253
1612383300000,1.20253,1.20281,1.20251,1.20271
1612384200000,1.20271,1.20358,1.20271,1.20337
1612385100000,1.20336,1.20362,1.20311,1.20331
1612386000000,1.20332,1.20362,1.20321,1.20351
1612386900000,1.20352,1.20367,1.20348,1.20351
1612387800000,1.20351,1.20367,1.20345,1.20356
1612388700000,1.20356,1.20373,1.20347,1.20351
1612389600000,1.20349,1.2036,1.2032,1.20351
1612390500000,1.20351,1.20355,1.20307,1.20307
1612391400000,1.20305,1.20349,1.20301,1.20333
1612392300000,1.2034,1.20349,1.20328,1.20328
1612393200000,1.20331,1.20418,1.20331,1.20383
1612394100000,1.20385,1.20409,1.20373,1.20391
1612395000000,1.20392,1.20404,1.20378,1.20397
1612395900000,1.20396,1.20414,1.2038,1.20412
1612396800000,1.20413,1.20424,1.20377,1.20423
1612397700000,1.20421,1.20427,1.204,1.20405
1612398600000,1.20406,1.20408,1.20376,1.20394
1612399500000,1.20394,1.20404,1.20349,1.20359
1612400400000,1.20359,1.20386,1.20355,1.20363
1612401300000,1.20363,1.20388,1.20349,1.20363
1612402200000,1.20364,1.20383,1.20338,1.20343
1612403100000,1.20345,1.20375,1.20333,1.20348
1612404000000,1.20349,1.20383,1.20342,1.20379
1612404900000,1.20381,1.20381,1.20337,1.20354
1612405800000,1.20353,1.20354,1.20327,1.20333
1612406700000,1.20333,1.20348,1.20312,1.20322
1612407600000,1.20323,1.20333,1.20284,1.2029
1612408500000,1.20292,1.20294,1.20213,1.20235
1612409400000,1.20233,1.20241,1.20183,1.20184
1612410300000,1.20184,1.20218,1.20165,1.20184
1612411200000,1.20183,1.20205,1.20173,1.20197
1612412100000,1.20197,1.20203,1.20183,1.20198
1612413000000,1.20199,1.20207,1.20179,1.20183
1612413900000,1.20182,1.20201,1.20157,1.20197
1612414800000,1.20196,1.20196,1.20131,1.20148
1612415700000,1.20147,1.20169,1.20132,1.20144
1612416600000,1.20143,1.20169,1.20125,1.20152
1612417500000,1.20151,1.20173,1.20138,1.20169
1612418400000,1.20169,1.20169,1.20115,1.20116
1612419300000,1.20116,1.20129,1.2007,1.20106
1612420200000,1.20106,1.20146,1.20104,1.20143
1612421100000,1.20143,1.20144,1.20099,1.20113
1612422000000,1.20113,1.20132,1.20019,1.20028
1612422900000,1.20027,1.20102,1.20027,1.20063
1612423800000,1.20063,1.20098,1.19996,1.20078
1612424700000,1.20078,1.20091,1.20023,1.20081
1612425600000,1.2008,1.20136,1.19923,1.20081
1612426500000,1.20081,1.20104,1.19936,1.19966
1612427400000,1.19964,1.20056,1.19962,1.19975
1612428300000,1.19975,1.19989,1.19911,1.19931
1612429200000,1.19931,1.19931,1.19848,1.19888
1612430100000,1.19888,1.19913,1.1983,1.19904
1612431000000,1.19903,1.19931,1.19849,1.19918
1612431900000,1.19918,1.19959,1.19856,1.19857
1612432800000,1.19856,1.19907,1.19835,1.19874
1612433700000,1.19874,1.19934,1.19864,1.19934
1612434600000,1.19933,1.19969,1.19907,1.19919
1612435500000,1.19921,1.19949,1.19856,1.19876
1612436400000,1.19876,1.19895,1.19836,1.19882
1612437300000,1.19882,1.19938,1.19862,1.19924
1612438200000,1.19923,1.1996,1.19897,1.19903
1612439100000,1.19902,1.1995,1.19871,1.19875
1612440000000,1.19876,1.19942,1.19863,1.19896
1612440900000,1.19897,1.1992,1.19828,1.19861
1612441800000,1.19862,1.19898,1.19846,1.19895
1612442700000,1.19894,1.1994,1.19877,1.19928
1612443600000,1.19929,1.19979,1.19928,1.19954
1612444500000,1.19955,1.19973,1.19918,1.19934
1612445400000,1.19938,1.19956,1.19855,1.1986
1612446300000,1.19858,1.19888,1.19834,1.19838
1612447200000,1.19839,1.19875,1.19828,1.19831
1612448100000,1.1983,1.19892,1.19811,1.19866
1612449000000,1.19868,1.1988,1.19765,1.19777
1612449900000,1.19776,1.19822,1.19759,1.19808
1612450800000,1.19808,1.19843,1.19761,1.19769
1612451700000,1.1977,1.19774,1.19685,1.19695
1612452600000,1.19695,1.1974,1.19666,1.19707
1612453500000,1.19708,1.19795,1.19665,1.19786
1612454400000,1.19785,1.19796,1.19725,1.19736
1612455300000,1.19736,1.19779,1.19729,1.19756
1612456200000,1.19755,1.19765,1.19724,1.19727
1612457100000,1.19726,1.19746,1.19719,1.19742
1612458000000,1.19742,1.19742,1.19675,1.1969
1612458900000,1.19691,1.19696,1.19599,1.19607
1612459800000,1.19606,1.1965,1.19574,1.19643
1612460700000,1.1964,1.19647,1.19589,1.19603
1612461600000,1.19602,1.19636,1.19587,1.19633
1612462500000,1.19634,1.19665,1.19619,1.19665
1612463400000,1.19665,1.19668,1.19643,1.19645
1612464300000,1.19644,1.19645,1.19605,1.19629
1612465200000,1.1963,1.19663,1.19603,1.19607
1612466100000,1.19605,1.19618,1.19581,1.19594
1612467000000,1.19595,1.19639,1.19575,1.19636
1612467900000,1.19638,1.1968,1.19633,1.19659
1612468800000,1.19659,1.19677,1.19644,1.19645
1612469700000,1.19647,1.19661,1.19638,1.1965
1612470600000,1.19652,1.19661,1.19636,1.19654
1612471500000,1.19655,1.19671,1.19637,1.19658
1612472400000,1.1966,1.19678,1.19637,1.19654
1612473300000,1.19653,1.19666,1.19637,1.19638
1612474200000,1.19639,1.19643,1.19609,1.19621
1612475100000,1.19619,1.1963,1.19602,1.1962
1612476000000,1.19618,1.19662,1.19607,1.1965
1612476900000,1.19651,1.19665,1.19626,1.19632
1612477800000,1.19633,1.19634,1.19587,1.19634
1612478700000,1.19635,1.19647,1.19629,1.19647
1612479600000,1.19645,1.19671,1.19627,1.19664
1612480500000,1.19663,1.19682,1.1966,1.19668
1612481400000,1.19667,1.19688,1.19663,1.19679
1612482300000,1.19678,1.19678,1.19643,1.19662
1612483200000,1.19659,1.1967,1.19631,1.19641
1612484100000,1.19641,1.19681,1.19634,1.19671
1612485000000,1.19668,1.19718,1.19667,1.19683
1612485900000,1.19684,1.19696,1.19667,1.19688
1612486800000,1.19686,1.19689,1.19621,1.19649
1612487700000,1.19649,1.19673,1.19639,1.19671
1612488600000,1.19673,1.19692,1.19661,1.19687
1612489500000,1.19685,1.19685,1.19644,1.19658
1612490400000,1.19659,1.1968,1.19635,1.19648
1612491300000,1.19648,1.19662,1.19621,1.19627
1612492200000,1.19625,1.19631,1.19555,1.1956
1612493100000,1.1956,1.19571,1.19534,1.19541
1612494000000,1.19541,1.19556,1.19522,1.19546
1612494900000,1.19547,1.19563,1.19537,1.19563
1612495800000,1.19562,1.19573,1.19542,1.1955
1612496700000,1.19549,1.19568,1.19545,1.19545
1612497600000,1.19544,1.19569,1.19544,1.19568
1612498500000,1.19568,1.19571,1.19555,1.19563
1612499400000,1.19563,1.19563,1.19536,1.19548
1612500300000,1.19548,1.19563,1.19546,1.1956
1612501200000,1.19561,1.19567,1.19552,1.19565
1612502100000,1.19564,1.19571,1.19553,1.1957
1612503000000,1.19572,1.19617,1.1957,1.19598
1612503900000,1.19598,1.19631,1.19592,1.19628
1612504800000,1.1963,1.19637,1.19594,1.19598
1612505700000,1.196,1.19637,1.19598,1.19635
1612506600000,1.19635,1.19654,1.19632,1.19645
1612507500000,1.19644,1.19662,1.19625,1.19654
1612508400000,1.19653,1.19667,1.19638,1.19654
1612509300000,1.19653,1.19654,1.1961,1.19612
1612510200000,1.19611,1.19653,1.19595,1.19629
1612511100000,1.19628,1.19655,1.19618,1.19632
1612512000000,1.19634,1.19827,1.19634,1.1982
1612512900000,1.19819,1.19821,1.19752,1.19762
1612513800000,1.19761,1.1981,1.19754,1.19787
1612514700000,1.1979,1.19874,1.19753,1.19842
1612515600000,1.19842,1.19878,1.19828,1.19839
1612516500000,1.19839,1.19841,1.19792,1.198
1612517400000,1.19801,1.19827,1.19778,1.19783
1612518300000,1.19783,1.19805,1.19763,1.19767
1612519200000,1.19766,1.19828,1.19764,1.19797
1612520100000,1.198,1.19813,1.1975,1.19752
1612521000000,1.19752,1.19794,1.19741,1.19777
1612521900000,1.19778,1.19778,1.19737,1.19737
1612522800000,1.19737,1.19745,1.19686,1.19721
1612523700000,1.19722,1.19778,1.19721,1.19748
