,Open,High,Low,Close,Volume
1612137600000,1.21225,1.21239,1.21201,1.21216,1209.53
1612138500000,1.21217,1.21279,1.21217,1.21279,966.07
1612139400000,1.21281,1.21281,1.21214,1.21231,1064.37
1612140300000,1.21232,1.21299,1.21232,1.21297,886.47
1612141200000,1.21296,1.21342,1.2127,1.21288,1133.38
1612142100000,1.21287,1.21363,1.21281,1.2135,1120.41
1612143000000,1.21351,1.21357,1.21273,1.21289,1144.02
1612143900000,1.21289,1.21313,1.21256,1.21271,1441.04
1612144800000,1.21272,1.21289,1.21255,1.21287,798.39
1612145700000,1.21285,1.21295,1.21266,1.21278,710.48
1612146600000,1.21275,1.21291,1.21246,1.21274,759.12
1612147500000,1.21274,1.21276,1.21256,1.2127,1086.02
1612148400000,1.2127,1.21273,1.21258,1.2126,985.35
1612149300000,1.21261,1.21293,1.2126,1.21286,754.48
1612150200000,1.21286,1.21317,1.21286,1.21312,599.5
1612151100000,1.21312,1.21315,1.21287,1.21295,664.2
1612152000000,1.21295,1.21329,1.21291,1.21322,950.13
1612152900000,1.21322,1.21327,1.21301,1.21306,1057.73
1612153800000,1.21306,1.21316,1.21288,1.21302,865.15
1612154700000,1.21301,1.21311,1.21273,1.21275,712.01
1612155600000,1.21276,1.21293,1.21276,1.21285,851.02
1612156500000,1.21284,1.21288,1.2126,1.21268,801.44
1612157400000,1.21267,1.21286,1.21258,1.21265,875.93
1612158300000,1.21266,1.21323,1.21265,1.21299,986.89
1612159200000,1.21299,1.21326,1.21282,1.21321,656.56
1612160100000,1.2132,1.21321,1.21302,1.21306,722.23
1612161000000,1.21306,1.21306,1.21277,1.21291,1110.15
1612161900000,1.21291,1.21297,1.21278,1.21292,595.97
1612162800000,1.21293,1.21308,1.21216,1.21221,2000.9
1612163700000,1.2122,1.21269,1.21218,1.21249,1949.87
1612164600000,1.21248,1.21289,1.21236,1.21274,1981.02
1612165500000,1.21273,1.21293,1.21239,1.21283,1420.21
1612166400000,1.21283,1.21302,1.21178,1.21294,4037.68
1612167300000,1.21294,1.21307,1.21127,1.21128,3440.97
1612168200000,1.21132,1.21163,1.21081,1.21084,3146.74
1612169100000,1.21085,1.21096,1.20881,1.20888,3443.92
1612170000000,1.20888,1.20957,1.20835,1.20922,4569.28
1612170900000,1.20924,1.21017,1.20916,1.21011,2704.85
1612171800000,1.2101,1.21042,1.20979,1.2099,2737.16
1612172700000,1.20988,1.21004,1.20914,1.20936,2579.73
1612173600000,1.20936,1.2094,1.20878,1.20881,2297.71
1612174500000,1.20881,1.20889,1.2083,1.20883,2381.55
1612175400000,1.20882,1.20882,1.20693,1.20747,3548.52
1612176300000,1.20746,1.20821,1.20723,1.20797,2935.11
1612177200000,1.20797,1.20821,1.2077,1.20806,2195.18
1612178100000,1.20804,1.20813,1.2075,1.20807,2026.35
1612179000000,1.20806,1.2082,1.20725,1.20794,1676.6
1612179900000,1.20793,1.20842,1.20756,1.20816,1853.25
1612180800000,1.20816,1.20882,1.20816,1.20877,2096.19
1612181700000,1.20876,1.20886,1.20802,1.20823,2055.02
1612182600000,1.20824,1.20862,1.20817,1.2085,2268.94
1612183500000,1.2085,1.20857,1.20721,1.20755,3528.22
1612184400000,1.20755,1.20845,1.20729,1.20842,3370.07
1612185300000,1.20842,1.20884,1.20795,1.20815,3289.89
1612186200000,1.20816,1.20855,1.20793,1.20837,2569.33
1612187100000,1.20835,1.20928,1.20834,1.20848,3214.7
1612188000000,1.20848,1.20924,1.20835,1.2091,2558.88
1612188900000,1.20912,1.20988,1.20899,1.20985,3248.94
1612189800000,1.20986,1.20994,1.20931,1.20966,4813.34
1612190700000,1.20966,1.20969,1.20865,1.20869,4193.97
1612191600000,1.20867,1.20956,1.20867,1.20918,3486.03
1612192500000,1.20919,1.20976,1.20914,1.20941,2247.79
1612193400000,1.20942,1.20983,1.20885,1.20904,2533.35
1612194300000,1.20904,1.20929,1.20798,1.20845,3281.93
1612195200000,1.20845,1.20845,1.20769,1.20771,1875.15
1612196100000,1.20772,1.20871,1.20748,1.20812,2532.61
1612197000000,1.20812,1.20819,1.20748,1.2078,2756.15
1612197900000,1.2078,1.20797,1.20682,1.20685,1820.91
1612198800000,1.20685,1.20701,1.20625,1.20627,2314.6
1612199700000,1.20626,1.20675,1.20625,1.20632,1840.5
1612200600000,1.20632,1.20697,1.20631,1.20667,1465.79
1612201500000,1.20667,1.20698,1.20647,1.20696,1393.46
1612202400000,1.20696,1.20708,1.20615,1.20707,1543.94
1612203300000,1.20706,1.20782,1.207,1.20731,1389.58
1612204200000,1.20733,1.20746,1.20645,1.20688,1790.72
1612205100000,1.20688,1.20692,1.20647,1.20676,1074.69
1612206000000,1.20676,1.20731,1.20665,1.20721,966.04
1612206900000,1.20723,1.20757,1.20717,1.20756,912.01
1612207800000,1.20757,1.20771,1.20727,1.20732,1277.04
1612208700000,1.20731,1.20743,1.20654,1.20664,1307.68
1612209600000,1.20662,1.2071,1.2065,1.20664,1880.41
1612210500000,1.20664,1.2068,1.2062,1.20625,1429.55
1612211400000,1.20626,1.20652,1.20578,1.20592,1606.45
1612212300000,1.20592,1.20625,1.2056,1.20565,1396.785
1612213200000,1.20564,1.20605,1.20564,1.20588,1022.845
1612214100000,1.2059,1.20592,1.2056,1.20581,368
1612215000000,1.20582,1.20617,1.20582,1.20586,553.48
1612215900000,1.20587,1.20612,1.20585,1.20594,734.39
1612216800000,1.20594,1.20631,1.20593,1.20618,145.25
1612217700000,1.20621,1.20621,1.20593,1.20611,279.73
1612218600000,1.20596,1.20628,1.20596,1.20625,85.89
1612219500000,1.20625,1.20637,1.20607,1.20618,164.29
1612220400000,1.20619,1.20631,1.20612,1.20624,429.3
1612221300000,1.20623,1.20679,1.20621,1.20674,1028.23
1612222200000,1.20674,1.20679,1.20649,1.20673,512
1612223100000,1.20672,1.20684,1.20663,1.20676,481.12
1612224000000,1.20676,1.2068,1.20624,1.20637,904.86
1612224900000,1.20635,1.20662,1.20629,1.20641,718.97
1612225800000,1.2064,1.2068,1.2063,1.20668,527.99
1612226700000,1.20668,1.20685,1.20622,1.20679,1405.67
1612227600000,1.20678,1.20718,1.20671,1.2071,790.48
1612228500000,1.20708,1.20753,1.20707,1.20748,1514.44
1612229400000,1.20749,1.20806,1.2073,1.20805,846.03
1612230300000,1.20806,1.20861,1.20768,1.20838,1216.79
1612231200000,1.20839,1.20877,1.20827,1.20828,1049.57
1612232100000,1.20829,1.20842,1.2082,1.20832,673.44
1612233000000,1.20833,1.20856,1.20817,1.20823,865.46
1612233900000,1.20822,1.20852,1.2082,1.20833,860.36
1612234800000,1.20833,1.20843,1.2081,1.20813,764.43
1612235700000,1.20814,1.20845,1.20813,1.2083,835.3
1612236600000,1.2083,1.20843,1.20796,1.20812,1545.95
1612237500000,1.20811,1.20845,1.20809,1.20816,938.79
1612238400000,1.20817,1.20822,1.20799,1.2081,683.83
1612239300000,1.20811,1.20828,1.20801,1.20813,384.81
1612240200000,1.20813,1.20821,1.20777,1.20778,613.3
1612241100000,1.20779,1.20786,1.2075,1.20756,978.17
1612242000000,1.20755,1.20777,1.20749,1.20765,671.46
1612242900000,1.20766,1.2077,1.20749,1.20753,607.23
1612243800000,1.20751,1.20778,1.20747,1.20747,638.4
1612244700000,1.20748,1.20793,1.20745,1.20791,800.66
1612245600000,1.2079,1.20795,1.20733,1.20746,735.61
1612246500000,1.20745,1.20747,1.20699,1.20701,702
1612247400000,1.20703,1.20707,1.20659,1.20702,767.26
1612248300000,1.20704,1.20718,1.20694,1.20708,629.27
1612249200000,1.20707,1.20714,1.20657,1.20672,1854.61
1612250100000,1.20672,1.2068,1.2064,1.20652,1975.23
1612251000000,1.20651,1.2076,1.20651,1.20716,1673.73
1612251900000,1.20717,1.20745,1.20641,1.20686,2334.68
1612252800000,1.20686,1.20748,1.20672,1.20706,3165.01
1612253700000,1.20705,1.2083,1.20704,1.2076,2903.34
1612254600000,1.20762,1.20869,1.20762,1.20813,2728.38
1612255500000,1.20816,1.20871,1.2075,1.20866,2040.88
1612256400000,1.20866,1.20866,1.20786,1.20824,2087.96
1612257300000,1.20824,1.20825,1.20744,1.20776,1837.41
1612258200000,1.20776,1.2079,1.20654,1.20682,2326.33
1612259100000,1.20683,1.20697,1.20639,1.20668,1738.61
1612260000000,1.20669,1.20696,1.20614,1.20615,1641.86
1612260900000,1.20614,1.20622,1.20363,1.20376,6340.8901
1612261800000,1.20375,1.2042,1.2032,1.20404,3095.87
1612262700000,1.20404,1.20417,1.20332,1.20352,2553.74
1612263600000,1.20352,1.20406,1.20341,1.20346,1660.25
1612264500000,1.20344,1.20379,1.20315,1.20323,1672.66
1612265400000,1.20322,1.20346,1.20263,1.20336,2246.39
1612266300000,1.20335,1.20336,1.20267,1.20277,1641.11
1612267200000,1.20278,1.20347,1.20261,1.20337,1823.13
1612268100000,1.20334,1.20382,1.20322,1.20367,1426.31
1612269000000,1.20369,1.20387,1.20309,1.20325,1374.38
1612269900000,1.20324,1.20399,1.20294,1.20386,1680.08
1612270800000,1.20387,1.20443,1.20346,1.20437,3059.27
1612271700000,1.20438,1.20466,1.20396,1.2043,1812.88
1612272600000,1.2043,1.20431,1.2035,1.20385,2280.93
1612273500000,1.20386,1.20497,1.20356,1.20481,2980.67
1612274400000,1.2048,1.20492,1.20407,1.20414,2388.45
1612275300000,1.20415,1.20449,1.20398,1.20445,2156.15
1612276200000,1.20445,1.20446,1.20264,1.20287,3913.34
1612277100000,1.20287,1.20312,1.20202,1.20231,4725.74
1612278000000,1.20234,1.20338,1.20233,1.20286,3445.66
1612278900000,1.20286,1.20335,1.20252,1.20301,3352.12
1612279800000,1.20299,1.20317,1.20212,1.20247,2340.64
1612280700000,1.20248,1.20297,1.20207,1.20273,2638.16
1612281600000,1.20273,1.20326,1.20262,1.20306,2785.93
1612282500000,1.20307,1.20326,1.20254,1.20293,2385.51
1612283400000,1.20293,1.203,1.20246,1.20259,1902.98
1612284300000,1.20259,1.20259,1.20186,1.2019,1943.89
1612285200000,1.20188,1.20254,1.20169,1.20241,2179.8
1612286100000,1.2024,1.20242,1.20132,1.20175,1905.06
1612287000000,1.20172,1.20186,1.20115,1.20137,1440.75
1612287900000,1.20137,1.20195,1.20128,1.20188,1388.12
1612288800000,1.20189,1.20247,1.20188,1.20216,1859.86
1612289700000,1.20216,1.20224,1.2018,1.20203,1080.41
1612290600000,1.20203,1.20233,1.202,1.20211,750.72
1612291500000,1.20212,1.20227,1.20175,1.20179,904.25
1612292400000,1.2018,1.20204,1.20172,1.20189,1067.12
1612293300000,1.20191,1.20232,1.20183,1.20226,839.5
1612294200000,1.20226,1.20255,1.20221,1.20229,572.84
1612295100000,1.20228,1.20233,1.20195,1.20199,1002.21
1612296000000,1.20198,1.20216,1.20171,1.2019,923.95
1612296900000,1.20189,1.20198,1.20175,1.20182,732.23
1612297800000,1.20181,1.20272,1.20174,1.20269,1330.01
1612298700000,1.20267,1.20402,1.20263,1.20368,1695.08
1612299600000,1.20367,1.20401,1.20341,1.20387,1089.45
1612300500000,1.20386,1.20437,1.20369,1.2037,648.85
1612301400000,1.20372,1.20429,1.2037,1.20416,484.87
1612302300000,1.20419,1.20458,1.20411,1.20428,973.5
1612303200000,1.20423,1.20447,1.20416,1.20447,163.08
1612304100000,1.20446,1.20447,1.20426,1.20439,96.67
1612305000000,1.20442,1.20443,1.20436,1.20437,117
1612305900000,1.20436,1.20448,1.20431,1.20431,64.21
1612306800000,1.20436,1.20441,1.20422,1.20432,791.89
1612307700000,1.20433,1.20441,1.20408,1.20436,1023.29
1612308600000,1.20436,1.20438,1.20394,1.20409,607.27
1612309500000,1.20412,1.20427,1.20361,1.20365,578.78
1612310400000,1.20365,1.20394,1.20357,1.20372,952.73
1612311300000,1.20374,1.2039,1.20363,1.20387,1085.61
1612312200000,1.20388,1.20432,1.20372,1.20428,832.23
1612313100000,1.20429,1.2046,1.20418,1.20442,904.17
1612314000000,1.20441,1.20488,1.20418,1.20477,1219.56
1612314900000,1.20479,1.205,1.20457,1.20467,1129.71
